# Unicode 17.0 sequences supplementing the existing Twemoji catalog.
# Code points	PNG filename	Unicode name	Emoji version
1F926 1F3FC 200D 2640	1f926-1f3fc-200d-2640-fe0f.png	woman facepalming: medium-light skin tone	4.0
1F926 1F3FD 200D 2640	1f926-1f3fd-200d-2640-fe0f.png	woman facepalming: medium skin tone	4.0
1F926 1F3FE 200D 2640	1f926-1f3fe-200d-2640-fe0f.png	woman facepalming: medium-dark skin tone	4.0
1F926 1F3FF 200D 2640	1f926-1f3ff-200d-2640-fe0f.png	woman facepalming: dark skin tone	4.0
1F937 200D 2642	1f937-200d-2642-fe0f.png	man shrugging	4.0
1F937 1F3FB 200D 2642	1f937-1f3fb-200d-2642-fe0f.png	man shrugging: light skin tone	4.0
1F937 1F3FC 200D 2642	1f937-1f3fc-200d-2642-fe0f.png	man shrugging: medium-light skin tone	4.0
1F937 1F3FD 200D 2642	1f937-1f3fd-200d-2642-fe0f.png	man shrugging: medium skin tone	4.0
1F937 1F3FE 200D 2642	1f937-1f3fe-200d-2642-fe0f.png	man shrugging: medium-dark skin tone	4.0
1F937 1F3FF 200D 2642	1f937-1f3ff-200d-2642-fe0f.png	man shrugging: dark skin tone	4.0
1F937 200D 2640	1f937-200d-2640-fe0f.png	woman shrugging	4.0
1F937 1F3FB 200D 2640	1f937-1f3fb-200d-2640-fe0f.png	woman shrugging: light skin tone	4.0
1F937 1F3FC 200D 2640	1f937-1f3fc-200d-2640-fe0f.png	woman shrugging: medium-light skin tone	4.0
1F937 1F3FD 200D 2640	1f937-1f3fd-200d-2640-fe0f.png	woman shrugging: medium skin tone	4.0
1F937 1F3FE 200D 2640	1f937-1f3fe-200d-2640-fe0f.png	woman shrugging: medium-dark skin tone	4.0
1F937 1F3FF 200D 2640	1f937-1f3ff-200d-2640-fe0f.png	woman shrugging: dark skin tone	4.0
1F9D1 200D 2695	1f9d1-200d-2695-fe0f.png	health worker	12.1
1F9D1 1F3FB 200D 2695	1f9d1-1f3fb-200d-2695-fe0f.png	health worker: light skin tone	12.1
1F9D1 1F3FC 200D 2695	1f9d1-1f3fc-200d-2695-fe0f.png	health worker: medium-light skin tone	12.1
1F9D1 1F3FD 200D 2695	1f9d1-1f3fd-200d-2695-fe0f.png	health worker: medium skin tone	12.1
1F9D1 1F3FE 200D 2695	1f9d1-1f3fe-200d-2695-fe0f.png	health worker: medium-dark skin tone	12.1
1F9D1 1F3FF 200D 2695	1f9d1-1f3ff-200d-2695-fe0f.png	health worker: dark skin tone	12.1
1F468 200D 2695	1f468-200d-2695-fe0f.png	man health worker	4.0
1F468 1F3FB 200D 2695	1f468-1f3fb-200d-2695-fe0f.png	man health worker: light skin tone	4.0
1F468 1F3FC 200D 2695	1f468-1f3fc-200d-2695-fe0f.png	man health worker: medium-light skin tone	4.0
1F468 1F3FD 200D 2695	1f468-1f3fd-200d-2695-fe0f.png	man health worker: medium skin tone	4.0
1F468 1F3FE 200D 2695	1f468-1f3fe-200d-2695-fe0f.png	man health worker: medium-dark skin tone	4.0
1F468 1F3FF 200D 2695	1f468-1f3ff-200d-2695-fe0f.png	man health worker: dark skin tone	4.0
1F469 200D 2695	1f469-200d-2695-fe0f.png	woman health worker	4.0
1F469 1F3FB 200D 2695	1f469-1f3fb-200d-2695-fe0f.png	woman health worker: light skin tone	4.0
1F469 1F3FC 200D 2695	1f469-1f3fc-200d-2695-fe0f.png	woman health worker: medium-light skin tone	4.0
1F469 1F3FD 200D 2695	1f469-1f3fd-200d-2695-fe0f.png	woman health worker: medium skin tone	4.0
1F469 1F3FE 200D 2695	1f469-1f3fe-200d-2695-fe0f.png	woman health worker: medium-dark skin tone	4.0
1F469 1F3FF 200D 2695	1f469-1f3ff-200d-2695-fe0f.png	woman health worker: dark skin tone	4.0
1F9D1 200D 2696	1f9d1-200d-2696-fe0f.png	judge	12.1
1F9D1 1F3FB 200D 2696	1f9d1-1f3fb-200d-2696-fe0f.png	judge: light skin tone	12.1
1F9D1 1F3FC 200D 2696	1f9d1-1f3fc-200d-2696-fe0f.png	judge: medium-light skin tone	12.1
1F9D1 1F3FD 200D 2696	1f9d1-1f3fd-200d-2696-fe0f.png	judge: medium skin tone	12.1
1F9D1 1F3FE 200D 2696	1f9d1-1f3fe-200d-2696-fe0f.png	judge: medium-dark skin tone	12.1
1F9D1 1F3FF 200D 2696	1f9d1-1f3ff-200d-2696-fe0f.png	judge: dark skin tone	12.1
1F468 200D 2696	1f468-200d-2696-fe0f.png	man judge	4.0
1F468 1F3FB 200D 2696	1f468-1f3fb-200d-2696-fe0f.png	man judge: light skin tone	4.0
1F468 1F3FC 200D 2696	1f468-1f3fc-200d-2696-fe0f.png	man judge: medium-light skin tone	4.0
1F468 1F3FD 200D 2696	1f468-1f3fd-200d-2696-fe0f.png	man judge: medium skin tone	4.0
1F468 1F3FE 200D 2696	1f468-1f3fe-200d-2696-fe0f.png	man judge: medium-dark skin tone	4.0
1F468 1F3FF 200D 2696	1f468-1f3ff-200d-2696-fe0f.png	man judge: dark skin tone	4.0
1F469 200D 2696	1f469-200d-2696-fe0f.png	woman judge	4.0
1F469 1F3FB 200D 2696	1f469-1f3fb-200d-2696-fe0f.png	woman judge: light skin tone	4.0
1F469 1F3FC 200D 2696	1f469-1f3fc-200d-2696-fe0f.png	woman judge: medium-light skin tone	4.0
1F469 1F3FD 200D 2696	1f469-1f3fd-200d-2696-fe0f.png	woman judge: medium skin tone	4.0
1F469 1F3FE 200D 2696	1f469-1f3fe-200d-2696-fe0f.png	woman judge: medium-dark skin tone	4.0
1F469 1F3FF 200D 2696	1f469-1f3ff-200d-2696-fe0f.png	woman judge: dark skin tone	4.0
1F9D1 200D 2708	1f9d1-200d-2708-fe0f.png	pilot	12.1
1F9D1 1F3FB 200D 2708	1f9d1-1f3fb-200d-2708-fe0f.png	pilot: light skin tone	12.1
1F9D1 1F3FC 200D 2708	1f9d1-1f3fc-200d-2708-fe0f.png	pilot: medium-light skin tone	12.1
1F9D1 1F3FD 200D 2708	1f9d1-1f3fd-200d-2708-fe0f.png	pilot: medium skin tone	12.1
1F9D1 1F3FE 200D 2708	1f9d1-1f3fe-200d-2708-fe0f.png	pilot: medium-dark skin tone	12.1
1F9D1 1F3FF 200D 2708	1f9d1-1f3ff-200d-2708-fe0f.png	pilot: dark skin tone	12.1
1F468 200D 2708	1f468-200d-2708-fe0f.png	man pilot	4.0
1F468 1F3FB 200D 2708	1f468-1f3fb-200d-2708-fe0f.png	man pilot: light skin tone	4.0
1F468 1F3FC 200D 2708	1f468-1f3fc-200d-2708-fe0f.png	man pilot: medium-light skin tone	4.0
1F468 1F3FD 200D 2708	1f468-1f3fd-200d-2708-fe0f.png	man pilot: medium skin tone	4.0
